BinLeft_deg,BinRight_deg,BinCenter_deg,NumberFraction
0,1,0.5,0.0173285198555957
1,2,1.5,0.053532748839608
2,3,2.5,0.0805569881382156
3,4,3.5,0.108406395048994
4,5,4.5,0.135740072202166
5,6,5.5,0.0947911294481692
6,7,6.5,0.0324909747292419
7,8,7.5,0.02867457452295
8,9,8.5,0.0191851469829809
9,10,9.5,0.0223826714801444
10,11,10.5,0.0252707581227437
11,12,11.5,0.0213512119649304
12,13,12.5,0.0204228984012377
13,14,13.5,0.0115523465703971
14,15,14.5,0.0109334708612687
15,16,15.5,0.0122743682310469
16,17,16.5,0.0117586384734399
17,18,17.5,0.0100051572975761
18,19,18.5,0.016400206291903
19,20,19.5,0.0201134605466735
20,21,20.5,0.0354822073233626
21,22,21.5,0.0310469314079422
22,23,22.5,0.0314595152140279
23,24,23.5,0.0416709644146467
24,25,24.5,0.029706034038164
25,26,25.5,0.0112429087158329
26,27,26.5,0.00990201134605467
27,28,27.5,0.0109334708612687
28,29,28.5,0.00907684373388344
29,30,29.5,0.0106240330067045
30,31,30.5,0.0105208870551831
31,32,31.5,0.00649819494584838
32,33,32.5,0.00484785972150593
33,34,33.5,0.00257864878803507
34,35,34.5,0.00113460546673543
35,36,35.5,0.000103145951521403
36,37,36.5,0
37,38,37.5,0
38,39,38.5,0
39,40,39.5,0
40,41,40.5,0
41,42,41.5,0
42,43,42.5,0
43,44,43.5,0
44,45,44.5,0
45,46,45.5,0
46,47,46.5,0
47,48,47.5,0
48,49,48.5,0
49,50,49.5,0
50,51,50.5,0
51,52,51.5,0
52,53,52.5,0
53,54,53.5,0
54,55,54.5,0
55,56,55.5,0
56,57,56.5,0
57,58,57.5,0
58,59,58.5,0
59,60,59.5,0
60,61,60.5,0
61,62,61.5,0
62,63,62.5,0
63,64,63.5,0
64,65,64.5,0
